caller_id,question,parentintent,childintent,answer
9139519,How much do I owe?,Service Management,Update Profile,The total current due amount is $147.69.
9139519,Do you offer home phone service?,Service Management,Update Profile,"Yes, we offer home phone service."
9139519,Can you update my email address?,Service Management,Update Profile,"Yes, I can update your email address."
9139519,Can I pay my bill tonight?,Service Management,Update Profile,"Yes, you can pay your bill tonight."
9139519,Is there a convenience fee for using a card?,Service Management,Update Profile,"Yes, there is a $3.50 convenience fee for using a card."
9139519,Can you remove the late charges?,Service Management,Update Profile,"Yes, I can remove the late charges for you."
9266593,Can I make a payment today?,Billing,Request Bill Copy,"I'm sorry, but I cannot process your payment today. There will be a convenience fee of $3.50 if you proceed."
9266593,What's the last payment method used?,Billing,Request Bill Copy,The last payment method used was a debit card.
9266593,What's the name of the speedy?,Billing,Request Bill Copy,"The name of the speedy is ""duplex""."
9266593,What is my current balance?,Billing,Request Bill Copy,Your current balance is $320.28.
9266593,Can you update my billing address?,Billing,Request Bill Copy,"Yes, I can update your billing address. It will be sent to your email from now on."
9266593,Can you tell me when my next bill will be generated?,Billing,Request Bill Copy,The next bill hasn't been generated yet.
9266593,What's the last bill amount?,Billing,Request Bill Copy,"I'm sorry, I couldn't understand your question clearly. Can you please rephrase it?"
9266593,What email address is associated with my account?,Billing,Request Bill Copy,The email address associated with your account is clarence@example.com.
9266593,When is my bill due?,Billing,Request Bill Copy,Your bill is due on December 14th.
9266593,When will I receive my next bill?,Billing,Request Bill Copy,The next bill hasn't been generated yet.
9266593,What is my billing address?,Billing,Request Bill Copy,"Your billing address is 146 Danielle Lane, Washington, Louisiana."
9266593,Can you help me check my bill?,Billing,Request Bill Copy,"Sure, I can help you check your bill. Is there anything else I can assist you with?"
9297827,When will I receive my bill?,Account Management,Online Account Access,Bills are usually released around the beginning of each month and can be sent via fax or email.
9297827,Do I need to make a payment this month?,Account Management,Online Account Access,"No, you do not need to make a payment this month. Your account has been converted to fiber, and there is no charge for this month."
9297827,Can I change my email address associated with my account?,Account Management,Online Account Access,"Yes, you can change your email address associated with your account. Please provide the new email address, and we will update it for you."
9297827,What is the amount due on my account?,Account Management,Online Account Access,"Currently, there is a balance of fifty-five cents on your account."
9297827,How do I set up a new account?,Account Management,Online Account Access,"To set up a new account, you can call our customer service or go online and create a new account using your account number."
9297827,What phone number do you have on file?,Account Management,Online Account Access,"We have your cell phone number on file, which is (555) 525-4545."
9297827,How can I access my account online?,Account Management,Online Account Access,You can access your account online by using the account number provided or by creating a new account.
9297827,How can I view my bill online?,Account Management,Online Account Access,You can view your bill online by logging into your account using the account number provided or by creating a new account.
9323803,Can I pay my bill online?,Payments,Others,"Yes, you can pay your bill online."
9323803,What is the total amount due for my Bright Speed bill?,Payments,Others,The total amount due for your bill is $213.70.
9323803,Can you provide me with the mailing address?,Payments,Others,"Sure, the mailing address is PO Box 6102, Carol Stream, Illinois, 60197-6102."
9323803,Where can I mail a check to Bright Speed?,Payments,Others,"You can mail your check to the following address: PO Box 6102, Carol Stream, Illinois, 60197-6102."
9075842,Can I have your contact number?,Account Management,Customer Profile,"Sure, my phone number is 608-484-0514."
9075842,What information do you need from me?,Account Management,Customer Profile,The last 4 digits of your social security number.
9075842,Can I send you a text message?,Account Management,Customer Profile,"Yes, you can send me a text message."
9075842,What should I do if nothing happens after entering the information?,Account Management,Customer Profile,Try entering the information again and make sure it's correct.
9075842,Can I provide a new checking account number?,Account Management,Customer Profile,"Yes, you can provide a new checking account number."
9075842,Can you send me the link because I made a mistake?,Account Management,Customer Profile,"Yes, I can send you the link again."
9075842,How do I know what's wrong if the information is incomplete or wrong?,Account Management,Customer Profile,The system will show an error message indicating what information is incomplete or wrong.
9075842,Can you send me the link again?,Account Management,Customer Profile,"Yes, I can send you the link again."
9075842,Can you send me the link because I'm having trouble with it?,Account Management,Customer Profile,"Yes, I can send you the link again."
9075842,Can I change the name and put my name on the account?,Account Management,Customer Profile,"Yes, we can change the name on the account to your name."
9075842,Can you spell your first and last name?,Account Management,Customer Profile,"Sure, my first name is Judith and my last name is Clancy."
9075842,What does the text message say?,Account Management,Customer Profile,The text message will have a link that you need to click on to enter your date of birth and social security number.
9075842,Can I receive a bill instead of automatic withdrawal?,Account Management,Customer Profile,"Yes, you can receive a bill instead of automatic withdrawal."
9075842,Can I cancel automatic withdrawal?,Account Management,Customer Profile,"Yes, you can cancel automatic withdrawal."
9075842,Can I change the name on the account?,Account Management,Customer Profile,"Yes, we can change the name on the account."
9075842,What should I do after entering the information in the text message?,Account Management,Customer Profile,Let me know once you've completed entering the information.
9075842,Do you have an email?,Account Management,Customer Profile,"Yes, my email is judyclancy74@gmail.com."
9075842,Where will my name go on the billing statement?,Account Management,Customer Profile,Your name will appear on the billing statement.
9075842,Can you send me the link because I need to erase a number?,Account Management,Customer Profile,"Yes, I can send you the link again."
9077074,Can I bundle my home phone with my internet?,Payments,Update Card Details,"Yes, you can bundle your home phone with your internet. It will cost $25 instead of $40."
9077074,Can you confirm the changes made?,Payments,Update Card Details,"Yes, the changes have been made. Is there anything else I can assist you with?"
9077074,Can you change my card number?,Payments,Update Card Details,"Yes, I can help you change your card number. Can you confirm the current card number ending in redactcc?"
9077074,How can I change my billing information?,Payments,Update Card Details,"To change your billing information, please provide me with your name."
9077074,When is my payment due?,Payments,Update Card Details,Your payment is due on the eighth of every month.
9077074,Can you update my autopay information?,Payments,Update Card Details,"Sure, I can update your autopay information. Can you provide me with the current autopay number ending in eight five oh five?"
9079983,Do you have home phone service?,Billing,Others,"No, I don't have home phone service."
9079983,Can you update my cell phone number?,Billing,Others,"Yes, I can update your cell phone number. Please provide me with the correct number."
9079983,What is the confirmation number for my payment?,Billing,Others,The confirmation number for your payment is 14657200127.
9079983,Can I input my card details manually?,Billing,Others,"Yes, you can input your card details manually on our secure line."
9079983,Can I make a payment for my bill?,Billing,Others,"Yes, you can make a payment for your bill. How would you like to make the payment?"
9079983,Can I pay the whole amount?,Billing,Others,"Yes, you can pay the whole amount."
9079983,How can I update my mailing address for my billing account?,Billing,Others,"To update your mailing address for your billing account, please provide me with the new address."
9079983,Can I update my phone number through the website or application?,Billing,Others,"Yes, you can try updating your phone number through the website or application."
9079983,What will be my new billing address?,Billing,Others,"Your new billing address will be 135 Rosebud Court, Forsyth, Missouri, 65653."
9079983,What type of payment can I use?,Billing,Others,You can use a checking account or a debit card for payment.
9079983,How much is my current bill?,Billing,Others,Your current bill is $102.98.
9097465,What do I do if my service address has the wrong zip code?,Account Management,Customer Profile,You can contact us and let us know about the concern. We will check what we can do to update it.
9097465,Can you update my service address zip code?,Account Management,Customer Profile,We will need to verify your account first. Can you provide the last four digits of your social security number?
9097465,Where did you see the incorrect billing address?,Account Management,Customer Profile,It is on the online portal.
9105640,How much does the inside wire protection cost?,Billing,Request Bill Copy,The inside wire protection costs $16 per month.
9105640,Can I make my payment on bryce.com?,Billing,Request Bill Copy,"No, you can make your payment through online banking."
9105640,Do you offer inside wiring protection for home phone and internet customers?,Billing,Request Bill Copy,"Yes, we offer inside wiring protection for home phone and internet customers."
9105640,What is the amount due on my last bill?,Billing,Request Bill Copy,The amount due on your last bill was $103.83.
9105640,What does the inside wire protection cover?,Billing,Request Bill Copy,The inside wire protection covers the inside wiring and jacks in the residence.
9105640,What is the mailing address on my account?,Billing,Request Bill Copy,"The mailing address on your account is 5011 Southwest Green Ridge Road, Topeka, Kansas 66616."
9105640,Can you switch it back to paper?,Billing,Request Bill Copy,"Sure, I can switch it back to paper."
9105640,When is the payment due?,Billing,Request Bill Copy,The payment is due on the seventeenth.
9105640,Why am I no longer receiving bills from you guys?,Billing,Request Bill Copy,So this is a billing went paperless to jason dot io ss ard at sbs s com.
9109933,Can I call back with my sister's number?,Account Management,To Be Identified,"Yes, you can call back with your sister's number."
9109933,Can I cancel the account?,Account Management,To Be Identified,"No, we cannot cancel the account."
9109933,Can I add services to the account?,Account Management,To Be Identified,"No, we cannot add services to the account."
9109933,Can I speak to Ms. Lee?,Account Management,To Be Identified,"Yes, you can speak to Ms. Lee."
9109933,Can I change the name on a fiber account?,Account Management,To Be Identified,"No, we cannot change the name on a fiber account."
9109933,Can you call ahead to this number?,Account Management,To Be Identified,"Yes, we can call ahead to this number."
9109933,Can you confirm the phone number?,Account Management,To Be Identified,"Yes, the phone number is 847-676-0290."
9109933,Can I change the service address?,Account Management,To Be Identified,"No, we cannot change the service address."
9109933,Can you spell that for me?,Account Management,To Be Identified,"I'm sorry, can you repeat that?"
9109933,What should I do to change the name on the account?,Account Management,To Be Identified,You can call back or fill out a form online.
9109933,How long will it take to change the name?,Account Management,To Be Identified,It will be quick.
9109933,What is the account holder's name?,Account Management,To Be Identified,The account holder's name is Terrence Townhouse.
9109933,What is the social security number?,Account Management,To Be Identified,Can you provide the last four digits of the social security number?
9109933,Can I transfer the service to another person?,Account Management,To Be Identified,"No, we cannot transfer the service to another person."
9109933,What is the service address?,Account Management,To Be Identified,"The service address is 395 Davis Love Drive, Chapel Hill, 27517."
9109933,Can I change the name on the account later?,Account Management,To Be Identified,"No, you cannot change the name on the account later."
9109933,Can you confirm the last name?,Account Management,To Be Identified,"Yes, the last name is Townhouse."
9109933,Can you call this number in five minutes?,Account Management,To Be Identified,"Yes, we will call this number in five minutes."
9109933,Can you text me more information?,Account Management,To Be Identified,"Yes, we can text you more information."
9120900,I just wanted to correct the cell phone number.,Account Management,Customer Profile,"Alright, I have updated the cell phone number. Thank you for choosing our service. Have a great day."
9120900,"No, it's not a nine, it's a four.",Account Management,Customer Profile,Apologies for the confusion. Your correct cell phone number is 717-543-7917.
9120900,I gave the wrong digit when setting up the repair. Can you update it?,Account Management,Customer Profile,"Yes, I can update the repair ticket with the correct number. Please provide me with the correct number."
9120900,"I had told her 593, that's why I called back, and it was 543.",Account Management,Customer Profile,I understand. Your correct cell phone number is 717-543-7917.
9120900,My correct cell phone number is 717-543-7917.,Account Management,Customer Profile,"Alright, let me update it in our system. Your correct cell phone number is 717-543-7917."
9120900,We don't have emails or texts. They will have to call.,Account Management,Customer Profile,"Alright, I understand. They will contact you via phone."
9120900,Can you make sure my lines are active?,Account Management,Customer Profile,"Yes, I will make sure your lines are active."
9120900,I didn't catch the last part. Can you repeat it?,Account Management,Customer Profile,"Sure, let me check if I have the right cell phone number."
9125266,Can I have your best contact number?,Account Management,To Be Identified,My work number is 6363599466.
9125266,Do we have the account holder with you?,Account Management,To Be Identified,"Yes, he passed away in January but I have his information."
9125266,What is the average monthly bill?,Account Management,To Be Identified,$123.65.
9125266,Please expect a call from our back office within seven to ten days for further process.,Account Management,To Be Identified,"Okay, thank you."
9125266,Can you spell out your last name for me?,Account Management,To Be Identified,It's P-O-L-S-T-O-N.
9125266,Can you connect me to a secured line to enter the card number?,Account Management,To Be Identified,"Sure, please wait a moment."
9125266,What services do you have?,Account Management,To Be Identified,We have Bright Speed internet and telephone.
9125266,Can you provide me the account number?,Account Management,To Be Identified,It is 301964573.
9125266,Can you provide me the service address?,Account Management,To Be Identified,"It's 207 South State Highway 47, Morgan, Missouri 63383."
9125266,Can you provide me the last four digits of the social security number on the account?,Account Management,To Be Identified,I don't have that information.
9125266,What was the total on that payment?,Account Management,To Be Identified,The total is $124.57.
9125266,Can I pay the bill this month?,Account Management,To Be Identified,"Yes, you can pay with a debit card."
9129928,Can you update my autopay?,Payments,Update payment method,"Certainly, I can update your autopay. Please provide me with your credit card information."
9129928,Can I update my card over the phone?,Payments,Update payment method,"Yes, you can update your card over the phone. I will connect you to our secure line."
9129928,Can you update my credit card information?,Payments,Update payment method,I would be happy to help you update your credit card information.
9129928,Can you confirm the payment details for autopay?,Payments,Update payment method,"Sure, the payment method is Visa card ending in [redacted], expiration date [redacted], and billing zip code is 35565. Is that correct?"
9129928,Is my email address correct?,Payments,Update payment method,"Yes, the email address we have on file is lindacalljohn412018@gmail.com. Is that correct?"
9129928,Is my mobile number correct?,Payments,Update payment method,"Yes, the mobile number we have on file is 205-269-9533. Is that correct?"
9129928,Can I ask a few questions to improve your service?,Payments,Update payment method,"Sure, I would be happy to answer any questions you have to provide you with the best service."
9129928,Do you already have phone service?,Payments,Update payment method,Do you already have phone service? Is it a cell phone or a home phone?
9129928,Can you verify the last four digits of my social security number?,Payments,Update payment method,"Sure, can you please provide me with the last four digits of your social security number?"
9129928,Can I still use my home phone?,Payments,Update payment method,"Yes, you can still use your home phone. Our home phone service offers reliable and uninterrupted calls."
9131360,What if I have a vacation home?,Account Management,Service Settings,"If you have a vacation home, please let us know so we can assist you accordingly."
9131360,Can I upgrade my service for better internet?,Account Management,Service Settings,"Yes, you can upgrade your service for better internet."
9131360,Can I upgrade my service?,Account Management,Service Settings,"Yes, you can upgrade your service."
9131360,Is there an upgrade available for better service?,Account Management,Service Settings,"Yes, there may be an upgrade available for better service."
9131360,Should I tell the customer care representative the same thing?,Account Management,Service Settings,"Yes, please inform the customer care representative about your request."
9131360,Can I upgrade my service even if it's through a different provider?,Account Management,Service Settings,"Yes, you can still upgrade your service even if it's through a different provider."
9131360,What is the name on the account?,Account Management,Service Settings,Please provide the name on the account.
9131360,Can I upgrade my internet service?,Account Management,Service Settings,"Yes, you can upgrade your internet service."
9131360,Can I get better internet service?,Account Management,Service Settings,"Yes, you can get better internet service."
9131360,Is my internet still working?,Account Management,Service Settings,"If your internet is still working, you can still upgrade your service."
9131360,What if my bill comes from a different provider?,Account Management,Service Settings,"If your bill comes from a different provider, please provide the necessary information for us to locate your account."
9131360,Can you transfer me to a customer care representative?,Account Management,Service Settings,"Yes, I will transfer you to a customer care representative."
9131360,Do I need to provide my account number or phone number?,Account Management,Service Settings,"Yes, please provide your account number or phone number associated with your account."
9131360,What if I have multiple names on the account?,Account Management,Service Settings,"If there are multiple names on the account, please provide all the names."
9184864,Can you remove the late fee from my bill?,Payments,Manage Auto Pay,"Yes, I can remove the late fee. Your new bill amount will be $90."
9184864,Can I set up a new account?,Payments,Manage Auto Pay,"Sure, I can help you with that. Can you please provide me with your account number or the telephone number connected to your account?"
9184864,How can I set up an auto pay again?,Payments,Manage Auto Pay,I would be more than happy to assist you with that today. Can you please provide me with your first and last name?
9184864,Can I use my debit card for the payment?,Payments,Manage Auto Pay,"Yes, you can use your debit card. I will send you a prompt to enter your payment information."
9184864,Can I make a one-time payment for my bills?,Payments,Manage Auto Pay,"Yes, you can make a one-time payment. Can you please provide me with your new payment information?"
9184864,Can you confirm that my next payment will be processed correctly?,Payments,Manage Auto Pay,"Yes, your next payment will be processed correctly. Thank you for choosing Bright Speedo."
9200687,Can you confirm the changes on your end?,Service Management,Update Profile,"Yes, the changes have been made on my end."
9200687,Can you mail it to a different address?,Service Management,Update Profile,"Yes, we can mail it to a different address."
9200687,Will the mailman know to put it in the right mailbox?,Service Management,Update Profile,"I can't guarantee that, but I will update the address as requested."
9200687,Can you change the name to my daughter's name on the mailing address?,Service Management,Update Profile,"No, I can only update the address, not the recipient's name."
9200687,Can I change my mailing address?,Service Management,Update Profile,"Yes, you can change your mailing address."
9200687,Do I need to pay any additional fees for the address change?,Service Management,Update Profile,"No, there are no additional fees for the address change."
9200687,Can you confirm the changes one last time?,Service Management,Update Profile,"Yes, the changes have been made."
9200687,Can you change the name on the mailing address?,Service Management,Update Profile,"No, I can only process the address change."
9200687,Can you confirm the spelling of the last name?,Service Management,Update Profile,The spelling of the last name is [spelling].
9200687,Can you add a hyphen to my name on the mailing address?,Service Management,Update Profile,"Yes, I can add a hyphen to your name on the mailing address."
9200687,Can you confirm the address?,Service Management,Update Profile,"Yes, the address is [address]."
9200687,Can you confirm the address again?,Service Management,Update Profile,"Yes, the address is [address]."
9200687,Can you confirm the address one last time?,Service Management,Update Profile,"Yes, the address is [address]."
9200687,Can you confirm the last name of your daughter?,Service Management,Update Profile,The last name of my daughter is [last name].
9200687,Can you confirm the address one more time?,Service Management,Update Profile,"Yes, the address is [address]."
9200687,Can you just put my name on the mailing address?,Service Management,Update Profile,"No, I can only update the address, not the recipient's name."
9200687,Can you update the address on your end?,Service Management,Update Profile,"Yes, I can update the address on my end."
9200687,Can you confirm my account number?,Service Management,Update Profile,"Yes, your account number is [account number]."
9200687,Can you confirm the correct address?,Service Management,Update Profile,"Yes, the correct address is [address]."
9201854,How much will the upgrade cost?,Service Management,Add Service Features,The upgrade will cost sixty nine dollars per month for the five hundred mbps service.
9201854,How can I access my current bill details?,Service Management,Add Service Features,You can access your current bill details by logging into your online account.
9201854,Can you provide me with my account number?,Service Management,Add Service Features,"Sure, your account number is ending in seven four six eight."
9201854,What is the cost for the one gig plan?,Service Management,Add Service Features,The cost for the one gig plan is seventy nine dollars.
9201854,What is the due date for my payment?,Service Management,Add Service Features,The payment is supposed to be due on the fifteenth.
9201854,Can the technicians call me before they arrive?,Service Management,Add Service Features,"Yes, the technicians will call you at least an hour before the installation."
9201854,Can you reset my password for my online account?,Service Management,Add Service Features,"Yes, I can reset your password for you."
9201854,Can I use my old email address for the online account?,Service Management,Add Service Features,"Yes, you can use your old email address for the online account."
9201854,Can you waive the installation fee?,Service Management,Add Service Features,"Yes, we can waive the installation fee for you."
